Período,Resíduo PARp,El Nino Forte,El Nino Médio,El Nino Fraco,La Nina Forte,La Nina Medio/Fraco,Manchas Solares,SOI,ENA,delta_ena,residuo_desp
Jan-32,0.19,0.00,1.00,0.00,0.00,0.00,12.10,1.80,4689,-3359.45,-996.225
Feb-32,0.14,0.00,1.00,0.00,0.00,0.00,10.60,-3.60,7195,-853.45,984.835032
Mar-32,-0.40,0.00,1.00,0.00,0.00,0.00,11.20,-2.50,8035,-13.45,1942.925598
Apr-32,-0.38,0.00,1.00,0.00,0.00,0.00,11.20,-2.10,20153,12104.55,13223.28348
May-32,-0.03,0.00,1.00,0.00,0.00,0.00,17.90,2.80,14716,6667.55,-3538.936632
Jun-32,0.34,0.00,1.00,0.00,0.00,0.00,22.20,-4.70,12313,4264.55,-658.42275
Jul-32,-0.05,0.00,1.00,0.00,0.00,0.00,9.60,-5.00,8696,647.55,-5614.879626
Aug-32,-0.05,0.00,1.00,0.00,0.00,0.00,6.80,-6.90,6262,-1786.45,-2159.821706
Sep-32,-0.26,0.00,1.00,0.00,0.00,0.00,4.00,-8.80,11764,3715.55,2901.754074
Oct-32,0.42,0.00,1.00,0.00,0.00,0.00,8.90,-4.30,11947,3898.55,-507.6282017
Nov-32,-0.42,0.00,1.00,0.00,0.00,0.00,8.20,-4.70,5152,-2896.45,-3306.561432
Dec-32,0.95,0.00,1.00,0.00,0.00,0.00,11.00,3.20,6936,-1112.45,1742.090112
Jan-33,0.17,0.00,0.00,0.00,0.00,0.00,12.30,-11.10,2613,-5435.45,-3845.625
Feb-33,-0.84,0.00,0.00,0.00,0.00,0.00,22.20,4.90,3191,-4857.45,-1643.237956
Mar-33,-0.70,0.00,0.00,0.00,0.00,0.00,10.10,-2.00,2874,-5174.45,-1329.114258
Apr-33,0.10,0.00,0.00,0.00,0.00,0.00,2.90,3.60,1718,-6330.45,-1880.415702
May-33,-0.25,0.00,0.00,0.00,0.00,0.00,3.20,6.00,2136,-5912.45,-2464.784616
Jun-33,-0.14,0.00,0.00,0.00,0.00,0.00,5.20,-3.90,2265,-5783.45,-3197.457625
Jul-33,-0.06,0.00,0.00,0.00,0.00,0.00,2.80,3.50,2464,-5584.45,-1101.30804
Aug-33,-0.21,0.00,0.00,0.00,0.00,0.00,0.20,-0.50,3538,-4510.45,-2662.599289
Sep-33,0.03,0.00,0.00,0.00,0.00,0.00,5.10,2.00,5130,-2918.45,-2150.9715
Oct-33,0.02,0.00,0.00,0.00,0.00,0.00,3.00,3.60,10054,2005.55,810.462422
Nov-33,-0.79,0.00,0.00,0.00,0.00,0.00,0.60,7.20,4298,-3750.45,-3350.177874
Dec-33,0.34,0.00,0.00,0.00,0.00,0.00,0.30,8.20,1852,-6196.45,-3004.939616
Jan-34,-0.32,0.00,0.00,0.00,0.00,0.00,3.40,6.50,3581,-4467.45,-952.35
Feb-34,-0.96,0.00,0.00,0.00,0.00,0.00,7.80,0.10,7954,-94.45,2478.220166
Mar-34,-0.50,0.00,0.00,0.00,0.00,0.00,4.30,0.20,5050,-2998.45,-1400.155164
Apr-34,-0.23,0.00,0.00,0.00,0.00,0.00,11.30,6.10,6905,-1143.45,1902.026016
May-34,-0.42,0.00,0.00,0.00,0.00,0.00,19.70,-7.40,5869,-2179.45,-2573.652984
Jun-34,-0.13,0.00,0.00,0.00,0.00,0.00,6.70,10.70,4426,-3622.45,-3264.69375
Jul-34,-0.34,0.00,0.00,0.00,0.00,0.00,9.30,2.90,3534,-4514.45,-2741.19777
Aug-34,-0.51,0.00,0.00,0.00,0.00,0.00,8.30,-22.40,4580,-3468.45,-2001.957034
Sep-34,0.55,0.00,0.00,0.00,0.00,0.00,4.00,-6.40,5054,-2994.45,-2831.80074
Oct-34,-0.10,0.00,0.00,0.00,0.00,0.00,5.70,4.20,6043,-2005.45,-3163.774564
Nov-34,-1.02,0.00,0.00,0.00,0.00,0.00,8.70,13.10,2539,-5509.45,-3392.136684
