Year;Easter;Carnival
1951;25/03/1951;06/02/1951
1952;13/04/1952;26/02/1952
1953;05/04/1953;17/02/1953
1954;18/04/1954;02/03/1954
1955;10/04/1955;22/02/1955
1956;01/04/1956;14/02/1956
1957;21/04/1957;05/03/1957
1958;06/04/1958;18/02/1958
1959;29/03/1959;10/02/1959
1960;17/04/1960;01/03/1960
1961;02/04/1961;14/02/1961
1962;22/04/1962;06/03/1962
1963;14/04/1963;26/02/1963
1964;29/03/1964;11/02/1964
1965;18/04/1965;02/03/1965
1966;10/04/1966;22/02/1966
1967;26/03/1967;07/02/1967
1968;14/04/1968;27/02/1968
1969;06/04/1969;18/02/1969
1970;29/03/1970;10/02/1970
1971;11/04/1971;23/02/1971
1972;02/04/1972;15/02/1972
1973;22/04/1973;06/03/1973
1974;14/04/1974;26/02/1974
1975;30/03/1975;11/02/1975
1976;18/04/1976;02/03/1976
1977;10/04/1977;22/02/1977
1978;26/03/1978;07/02/1978
1979;15/04/1979;27/02/1979
1980;06/04/1980;19/02/1980
1981;19/04/1981;03/03/1981
1982;11/04/1982;23/02/1982
1983;03/04/1983;15/02/1983
1984;22/04/1984;06/03/1984
1985;07/04/1985;19/02/1985
1986;30/03/1986;11/02/1986
1987;19/04/1987;03/03/1987
1988;03/04/1988;16/02/1988
1989;26/03/1989;07/02/1989
1990;15/04/1990;27/02/1990
1991;31/03/1991;12/02/1991
1992;19/04/1992;03/03/1992
1993;11/04/1993;23/02/1993
1994;03/04/1994;15/02/1994
1995;16/04/1995;28/02/1995
1996;07/04/1996;20/02/1996
1997;30/03/1997;11/02/1997
1998;12/04/1998;24/02/1998
1999;04/04/1999;16/02/1999
2000;23/04/2000;07/03/2000
2001;15/04/2001;27/02/2001
2002;31/03/2002;12/02/2002
2003;20/04/2003;04/03/2003
2004;11/04/2004;24/02/2004
2005;27/03/2005;08/02/2005
2006;16/04/2006;28/02/2006
2007;08/04/2007;20/02/2007
2008;23/03/2008;05/02/2008
2009;12/04/2009;24/02/2009
2010;04/04/2010;16/02/2010
2011;24/04/2011;08/03/2011
2012;08/04/2012;21/02/2012
2013;31/03/2013;12/02/2013
2014;20/04/2014;04/03/2014
2015;05/04/2015;17/02/2015
2016;27/03/2016;09/02/2016
2017;16/04/2017;28/02/2017
2018;01/04/2018;13/02/2018
2019;21/04/2019;05/03/2019
2020;12/04/2020;25/02/2020
2021;04/04/2021;16/02/2021
2022;17/04/2022;01/03/2022
2023;09/04/2023;21/02/2023
2024;31/03/2024;13/02/2024
2025;20/04/2025;04/03/2025
2026;05/04/2026;17/02/2026
2027;28/03/2027;09/02/2027
2028;16/04/2028;29/02/2028
2029;01/04/2029;13/02/2029
2030;21/04/2030;05/03/2030
2031;13/04/2031;25/02/2031
2032;28/03/2032;10/02/2032
2033;17/04/2033;01/03/2033
2034;09/04/2034;21/02/2034
2035;25/03/2035;06/02/2035
2036;13/04/2036;26/02/2036
2037;05/04/2037;17/02/2037
2038;25/04/2038;09/03/2038
2039;10/04/2039;22/02/2039
2040;01/04/2040;14/02/2040
2041;21/04/2041;05/03/2041
2042;06/04/2042;18/02/2042
2043;29/03/2043;10/02/2043
2044;17/04/2044;01/03/2044
2045;09/04/2045;21/02/2045
2046;25/03/2046;06/02/2046
2047;14/04/2047;26/02/2047
2048;05/04/2048;18/02/2048
2049;18/04/2049;02/03/2049
2050;10/04/2050;22/02/2050
2051;02/04/2051;14/02/2051
2052;21/04/2052;05/03/2052
2053;06/04/2053;18/02/2053
2054;29/03/2054;10/02/2054
2055;18/04/2055;02/03/2055
2056;02/04/2056;15/02/2056
2057;22/04/2057;06/03/2057
2058;14/04/2058;26/02/2058
2059;30/03/2059;11/02/2059
2060;18/04/2060;02/03/2060
2061;10/04/2061;22/02/2061
2062;26/03/2062;07/02/2062
2063;15/04/2063;27/02/2063
2064;06/04/2064;19/02/2064
2065;29/03/2065;10/02/2065
2066;11/04/2066;23/02/2066
2067;03/04/2067;15/02/2067
2068;22/04/2068;06/03/2068
2069;14/04/2069;26/02/2069
2070;30/03/2070;11/02/2070
2071;19/04/2071;03/03/2071
2072;10/04/2072;23/02/2072
2073;26/03/2073;07/02/2073
2074;15/04/2074;27/02/2074
2075;07/04/2075;19/02/2075
2076;19/04/2076;03/03/2076
2077;11/04/2077;23/02/2077
2078;03/04/2078;15/02/2078
